"age", "gender", "signed_in", "avg_click", "avg_impressions", "max_click", "max_impressions"
57,0,1,0.0987,5.0365,2,15,
57,1,1,0.1025,5.0209,3,15,
58,0,1,0.1123,5.0393,2,13,
58,1,1,0.0880,5.0448,2,14,
59,0,1,0.0986,5.0222,3,13,
59,1,1,0.1023,5.0076,3,13,
60,0,1,0.1042,4.9931,2,13,
60,1,1,0.1001,5.0203,3,15,
61,0,1,0.1018,4.9836,3,13,
61,1,1,0.1006,5.0386,2,14,
62,0,1,0.1009,5.0371,2,14,
62,1,1,0.1061,5.0263,2,16,
63,0,1,0.1010,5.1092,2,14,
63,1,1,0.1098,4.9449,2,13,
64,0,1,0.1146,5.1061,2,13,
64,1,1,0.1107,5.0471,2,14,
65,0,1,0.1286,5.0653,2,13,
65,1,1,0.1421,5.0572,3,13,
66,0,1,0.1718,4.9291,3,15,
66,1,1,0.1614,5.0917,2,13,
67,0,1,0.1482,5.0111,2,15,
67,1,1,0.1365,4.9950,2,12,
68,0,1,0.1434,5.0316,3,16,
68,1,1,0.1675,4.9501,2,12,
69,0,1,0.1394,5.1261,2,15,
69,1,1,0.1477,5.0745,2,14,
70,0,1,0.1690,5.1078,2,12,
70,1,1,0.1531,5.0179,2,16,
71,0,1,0.1505,5.0000,3,13,
71,1,1,0.1568,4.9772,2,13,
72,0,1,0.1284,5.0531,2,13,
72,1,1,0.1334,4.9080,2,12,
73,0,1,0.1607,4.9662,2,14,
73,1,1,0.1468,5.0102,2,13,
74,0,1,0.1663,5.0749,2,14,
74,1,1,0.1815,4.9665,3,14,
75,0,1,0.1639,5.0187,2,13,
75,1,1,0.1532,4.9234,2,14,
76,0,1,0.1667,5.0485,2,12,
76,1,1,0.1457,4.9823,2,15,
77,0,1,0.1440,4.8804,2,15,
77,1,1,0.1341,5.1129,2,13,
78,0,1,0.1438,5.1832,2,13,
78,1,1,0.1278,5.0511,2,12,
79,0,1,0.1785,5.0328,2,14,
79,1,1,0.1848,5.1486,2,12,
80,0,1,0.1500,4.8167,2,13,
80,1,1,0.1624,4.7638,3,10,
81,0,1,0.1469,5.0309,2,13,
81,1,1,0.1391,4.8043,2,14,
82,0,1,0.1445,5.1388,2,14,
82,1,1,0.1897,5.0154,2,16,
83,0,1,0.1493,5.0716,3,13,
83,1,1,0.1689,4.9662,3,11,
84,0,1,0.1532,4.8992,2,12,
84,1,1,0.1322,4.9587,1,9,
85,0,1,0.0656,4.8470,1,11,
85,1,1,0.1217,4.8174,1,12,
86,0,1,0.1268,5.1197,3,14,
86,1,1,0.1512,4.7558,3,11,
87,0,1,0.1095,5.1095,1,12,
87,1,1,0.1081,4.9459,2,12,
88,0,1,0.1020,4.9796,1,11,
88,1,1,0.1754,5.0877,1,11,
89,0,1,0.0750,4.9625,1,12,
89,1,1,0.1250,5.0208,1,10,
90,0,1,0.1733,5.0400,2,10,
90,1,1,0.2258,5.1935,1,10,
91,0,1,0.0851,4.6596,1,12,
91,1,1,0.0800,4.4400,1,13,
92,0,1,0.0606,4.6970,1,9,
92,1,1,0.2121,5.0606,1,14,
93,0,1,0.2500,4.9286,1,8,
93,1,1,0.0000,5.2857,0,8,
94,0,1,0.1538,5.1923,2,9,
94,1,1,0.3478,4.6087,2,9,
95,0,1,0.1364,4.8636,1,9,
95,1,1,0.1538,5.0769,1,9,
96,0,1,0.0588,5.2353,1,10,
96,1,1,0.0000,5.5000,0,9,
97,0,1,0.1429,4.7143,1,6,
97,1,1,0.1429,5.1429,1,9,
98,0,1,0.2222,4.1111,1,7,
98,1,1,0.0000,4.0000,0,7,
99,0,1,0.2000,5.8000,1,7,
99,1,1,0.0000,8.0000,0,12,
100,0,1,0.0000,2.0000,0,2,
100,1,1,0.3333,2.6667,1,4,
101,0,1,0.0000,3.5000,0,5,
101,1,1,0.0000,4.5000,0,5,
102,1,1,0.0000,4.5000,0,6,
103,0,1,0.0000,4.0000,0,4,
103,1,1,0.0000,3.0000,0,3,
104,1,1,1.0000,6.0000,1,6,
107,1,1,0.5000,4.5000,1,5,
108,0,1,0.0000,3.0000,0,3,
